bin,[u|k]_[S|G|F]GBid,taxa_level,taxonomy,avg_dist
bin_no.1_129,kSGB_19067,Species,k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp_Minos11|t__SGB19067,0.016267999999999998
bin_no.12_129,uSGB_84456,Other,k__Bacteria|p__Proteobacteria|c__CFGB14434|o__OFGB14434|f__FGB14434|g__GGB39774|s__GGB39774_SGB84456|t__SGB84456,0.05970966
bin_no.15_129,uSGB_36788,Family,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__GGB24881|s__GGB24881_SGB36788|t__SGB36788,0.020580967741935487
bin_no.16_129,uSGB_3824,Other,k__Bacteria|p__Proteobacteria|c__CFGB1135|o__OFGB1135|f__FGB1135|g__GGB2857|s__GGB2857_SGB3824|t__SGB3824,0.061239963
bin_no.17_129,kSGB_47005,Species,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacteraceae_unclassified|s__Rhodobacteraceae_bacterium|t__SGB47005,0.13259022222222222
bin_no.2_129,uSGB_9178,Other,k__Bacteria|p__Proteobacteria|c__CFGB2360|o__OFGB2360|f__FGB2360|g__GGB6493|s__GGB6493_SGB9178|t__SGB9178,0.053871038
bin_no.25_129,uSGB_60495,Other,k__Bacteria|p__Proteobacteria|c__CFGB40660|o__OFGB40660|f__FGB40660|g__GGB43201|s__GGB43201_SGB60495|t__SGB60495,0.05452092
bin_no.5_129,uSGB_36491,Genus,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__Actinobacteria_unclassified|s__Actinobacteria_unclassified_SGB36491|t__SGB36491,0.02940845
bin_no.6_129,kSGB_67225,Species,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacteraceae_unclassified|s__Rhodobacteraceae_bacterium|t__SGB67225,0.0493897
bin_no.7_129,uSGB_36604,Other,k__Bacteria|p__Proteobacteria|c__CFGB7908|o__OFGB7908|f__FGB7908|g__GGB24717|s__GGB24717_SGB36604|t__SGB36604,0.0439586
bin_no.8_129,uSGB_36877,Family,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified|f__Gammaproteobacteria_unclassified|g__GGB24964|s__GGB24964_SGB36877|t__SGB36877,0.033463629
bin_no.11_133,uSGB_86668,Other,k__Bacteria|p__Actinobacteria|c__CFGB40072|o__OFGB40072|f__FGB40072|g__GGB64250|s__GGB64250_SGB86668|t__SGB86668,0.034176
bin_no.17_133,uSGB_36604,Other,k__Bacteria|p__Proteobacteria|c__CFGB7908|o__OFGB7908|f__FGB7908|g__GGB24717|s__GGB24717_SGB36604|t__SGB36604,0.060945211
bin_no.18_133,kSGB_67225,Species,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacteraceae_unclassified|s__Rhodobacteraceae_bacterium|t__SGB67225,0.0475845
bin_no.19_133,uSGB_18840,Other,k__Bacteria|p__Proteobacteria|c__CFGB4006|o__OFGB4006|f__FGB4006|g__GGB12076|s__GGB12076_SGB18840|t__SGB18840,0.0339742
bin_no.20_133,uSGB_3699,Other,k__Bacteria|p__Proteobacteria|c__CFGB1074|o__OFGB1074|f__FGB1074|g__GGB2752|s__GGB2752_SGB3699|t__SGB3699,0.064041293
bin_no.21_133,uSGB_36701,Other,k__Bacteria|p__Proteobacteria|c__CFGB7973|o__OFGB7973|f__FGB7973|g__GGB24808|s__GGB24808_SGB36701|t__SGB36701,0.063195243
bin_no.25_133,uSGB_60495,Other,k__Bacteria|p__Proteobacteria|c__CFGB40660|o__OFGB40660|f__FGB40660|g__GGB43201|s__GGB43201_SGB60495|t__SGB60495,0.07040084
bin_no.28_133,uSGB_39581,Other,k__Bacteria|p__Firmicutes|c__CFGB125|o__OFGB125|f__FGB125|g__GGB27332|s__GGB27332_SGB39581|t__SGB39581,0.059417834782608696
bin_no.3_133,uSGB_36491,Genus,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__Actinobacteria_unclassified|s__Actinobacteria_unclassified_SGB36491|t__SGB36491,0.044809658333333335
bin_no.5_133,uSGB_3824,Other,k__Bacteria|p__Proteobacteria|c__CFGB1135|o__OFGB1135|f__FGB1135|g__GGB2857|s__GGB2857_SGB3824|t__SGB3824,0.06886925